seq,dataset,scan,eic,version,io_method,io_workers,shared_buffers,selectivity_rows,selectivity_pages,timing_cold,numeric
153,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.009,0.165,19.388,2.818
154,uniform,indexscan,16,master,worker,3,32GB,0.006,0.108,38.926,2.139
155,uniform,bitmapscan,64,master,io_uring,3,32GB,27.316,99.658,2694.119,1102.86
156,uniform,indexscan,64,prefetch-simple,io_uring,3,32GB,1.066,17.553,2127.105,93.759
157,uniform,bitmapscan,1,master,worker,12,32GB,0.312,5.477,2588.048,39.001
158,uniform,indexscan,64,master,sync,3,32GB,0.062,1.116,438.382,8.652
159,uniform,bitmapscan,16,master,sync,3,32GB,37.276,99.976,2771.978,1191.997
160,uniform,indexscan,64,prefetch-complex,worker,3,32GB,0.019,0.343,58.941,4.324
161,uniform,indexscan,64,prefetch-simple,sync,3,32GB,0.042,0.753,95.249,6.3
162,uniform,indexscan,64,prefetch-simple,worker,3,32GB,0.316,5.546,631.208,30.266
163,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.062,1.105,361.65,10.151
164,uniform,indexscan,1,master,io_uring,3,32GB,18.188,97.28,25432.523,1691.078
165,uniform,indexscan,16,master,worker,3,32GB,0.042,0.746,251.427,6.441
166,uniform,indexscan,0,prefetch-simple,io_uring,3,32GB,0.711,12.046,4086.63,67.216
167,uniform,indexscan,0,prefetch-complex,worker,12,32GB,47.29,99.999,27785.831,3827.532
168,uniform,bitmapscan,16,master,worker,12,32GB,12.126,90.228,2635.193,975.056
169,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,0.713,12.102,1290.821,116.71
170,uniform,indexscan,64,prefetch-complex,worker,3,32GB,0.002,0.036,5.295,1.512
171,uniform,indexscan,16,prefetch-complex,worker,12,32GB,0.143,2.547,333.744,14.631
172,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,0.143,2.541,1238.108,21.198
173,uniform,bitmapscan,0,prefetch-simple,sync,3,32GB,97.309,100.0,5383.644,1328.664
174,uniform,indexscan,0,master,io_uring,3,32GB,57.277,100.0,28821.029,5172.972
175,uniform,bitmapscan,64,master,io_uring,3,32GB,57.284,100.0,2863.481,1274.034
176,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,0.001,0.015,7.699,1.138
177,uniform,bitmapscan,16,prefetch-simple,worker,3,32GB,0.094,1.684,219.957,13.997
178,uniform,bitmapscan,16,prefetch-simple,io_uring,3,32GB,0.47,8.117,846.874,56.475
179,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,87.302,100.0,3845.968,1442.899
180,uniform,bitmapscan,64,prefetch-simple,worker,3,32GB,87.292,100.0,3019.325,1301.123
181,uniform,bitmapscan,64,master,worker,3,32GB,8.099,78.156,2704.093,823.095
182,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,0.004,0.076,9.306,1.856
183,uniform,bitmapscan,0,master,io_uring,3,32GB,0.002,0.035,13.033,1.469
184,uniform,bitmapscan,64,prefetch-simple,sync,3,32GB,0.008,0.148,19.855,2.615
185,uniform,indexscan,0,master,sync,3,32GB,2.394,35.362,12339.082,220.993
186,uniform,bitmapscan,0,master,sync,3,32GB,1.068,17.553,5447.138,169.353
187,uniform,indexscan,64,prefetch-simple,worker,12,32GB,5.406,63.199,6756.414,458.524
188,uniform,indexscan,64,prefetch-simple,sync,3,32GB,0.013,0.239,53.478,4.04
189,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,0.094,1.677,792.413,11.48
190,uniform,indexscan,0,master,sync,3,32GB,0.211,3.732,1239.703,23.275
191,uniform,bitmapscan,0,master,worker,12,32GB,12.14,90.255,4910.662,1014.548
192,uniform,indexscan,16,prefetch-complex,io_uring,3,32GB,0.004,0.066,8.539,1.859
193,uniform,bitmapscan,16,master,sync,3,32GB,0.006,0.111,12.693,2.211
194,uniform,indexscan,64,master,worker,12,32GB,0.02,0.351,159.73,4.345
195,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,37.288,99.98,5414.387,1192.751
196,uniform,bitmapscan,64,prefetch-complex,sync,3,32GB,47.274,99.999,2847.462,1291.21
197,uniform,indexscan,16,prefetch-simple,sync,3,32GB,3.587,48.217,5403.673,312.131
198,uniform,indexscan,0,prefetch-simple,io_uring,3,32GB,0.004,0.069,23.596,1.726
199,uniform,bitmapscan,64,prefetch-simple,worker,12,32GB,0.004,0.074,10.442,1.94
200,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,12.123,90.205,4952.982,1013.341
201,uniform,bitmapscan,0,prefetch-complex,sync,3,32GB,0.004,0.071,25.249,2.047
202,uniform,indexscan,0,prefetch-complex,io_uring,3,32GB,0.009,0.154,52.314,2.837
203,uniform,bitmapscan,64,master,worker,3,32GB,0.141,2.512,286.709,18.375
204,uniform,indexscan,0,prefetch-complex,worker,12,32GB,1.604,25.264,8854.672,151.758
205,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,0.14,2.497,1006.436,21.046
206,uniform,bitmapscan,1,master,worker,12,32GB,0.013,0.237,111.831,4.103
207,uniform,indexscan,64,prefetch-complex,worker,3,32GB,18.192,97.302,8938.297,1477.224
208,uniform,indexscan,16,prefetch-simple,sync,3,32GB,0.093,1.667,213.71,10.586
209,uniform,indexscan,16,prefetch-simple,worker,3,32GB,37.287,99.978,11123.084,2946.29
210,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,47.284,99.999,5626.609,1283.422
211,uniform,bitmapscan,1,prefetch-complex,sync,3,32GB,0.006,0.106,52.839,2.47
212,uniform,indexscan,0,prefetch-complex,worker,3,32GB,0.314,5.517,1973.269,33.159
213,uniform,indexscan,1,master,io_uring,3,32GB,1.598,25.158,8910.559,152.952
214,uniform,indexscan,0,prefetch-complex,worker,3,32GB,0.013,0.231,89.598,3.505
215,uniform,indexscan,0,prefetch-simple,worker,12,32GB,0.002,0.036,15.261,1.352
216,uniform,bitmapscan,16,prefetch-complex,worker,3,32GB,0.209,3.697,454.043,26.602
217,uniform,indexscan,0,prefetch-complex,sync,3,32GB,37.29,99.977,26851.045,3028.941
218,uniform,indexscan,16,prefetch-simple,worker,3,32GB,77.297,100.0,14514.81,6007.285
219,uniform,indexscan,1,prefetch-complex,sync,3,32GB,0.472,8.154,3978.951,45.236
220,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,1.067,17.577,8138.244,156.327
221,uniform,bitmapscan,16,prefetch-complex,io_uring,3,32GB,2.407,35.495,2946.159,375.144
222,uniform,indexscan,0,prefetch-complex,worker,3,32GB,1.599,25.189,8879.298,159.927
223,uniform,indexscan,16,master,worker,12,32GB,5.397,63.098,20811.169,520.214
224,uniform,bitmapscan,0,prefetch-simple,worker,3,32GB,0.001,0.015,6.752,1.128
225,uniform,indexscan,64,master,sync,3,32GB,1.068,17.574,6005.343,100.77
226,uniform,bitmapscan,0,master,sync,3,32GB,0.476,8.223,2785.836,61.444
227,uniform,bitmapscan,64,prefetch-simple,io_uring,3,32GB,0.142,2.511,290.712,19.246
228,uniform,bitmapscan,0,master,worker,12,32GB,97.313,100.0,5422.855,1346.456
229,uniform,indexscan,16,prefetch-complex,worker,12,32GB,97.31,100.0,15584.611,7622.137
230,uniform,bitmapscan,1,prefetch-complex,worker,3,32GB,0.001,0.018,9.485,1.508
231,uniform,indexscan,16,prefetch-complex,worker,3,32GB,1.599,25.182,2859.461,141.214
232,uniform,indexscan,16,master,sync,3,32GB,0.002,0.039,13.423,1.325
233,uniform,bitmapscan,1,prefetch-complex,io_uring,3,32GB,0.018,0.331,185.195,4.573
234,uniform,indexscan,16,prefetch-simple,sync,3,32GB,0.318,5.576,652.991,31.027
235,uniform,bitmapscan,16,master,worker,3,32GB,2.399,35.402,2903.356,350.358
236,uniform,bitmapscan,1,prefetch-simple,worker,12,32GB,77.298,100.0,5656.951,1263.307
237,uniform,bitmapscan,16,prefetch-simple,worker,12,32GB,0.317,5.562,622.792,40.657
238,uniform,bitmapscan,1,prefetch-simple,io_uring,3,32GB,0.042,0.755,379.932,8.706
239,uniform,indexscan,64,master,io_uring,3,32GB,0.004,0.07,52.268,2.162
240,uniform,bitmapscan,64,master,sync,3,32GB,77.298,100.0,2997.669,1290.302
241,uniform,bitmapscan,1,master,sync,3,32GB,5.393,63.126,13638.021,667.62
242,uniform,bitmapscan,0,prefetch-complex,worker,12,32GB,0.018,0.328,130.268,4.587
243,uniform,indexscan,16,prefetch-simple,sync,3,32GB,87.287,100.0,15200.059,6895.994
244,uniform,bitmapscan,64,master,worker,3,32GB,27.285,99.675,2729.825,1145.224
245,uniform,indexscan,1,prefetch-simple,worker,3,32GB,0.028,0.497,248.268,5.514
246,uniform,bitmapscan,16,master,io_uring,3,32GB,0.139,2.48,294.213,19.122
247,uniform,indexscan,16,prefetch-simple,worker,12,32GB,1.068,17.577,2103.611,94.1
248,uniform,bitmapscan,0,prefetch-simple,worker,12,32GB,97.312,100.0,5462.811,1355.918
249,uniform,indexscan,16,master,worker,12,32GB,3.588,48.219,16678.899,340.635
250,uniform,bitmapscan,16,prefetch-complex,io_uring,3,32GB,0.009,0.154,18.336,3.522
251,uniform,bitmapscan,64,master,worker,3,32GB,0.019,0.349,40.886,4.415
252,uniform,bitmapscan,16,master,worker,3,32GB,0.006,0.103,12.249,2.08
253,uniform,bitmapscan,1,master,io_uring,3,32GB,5.386,63.018,13517.433,645.514
254,uniform,indexscan,0,prefetch-simple,sync,3,32GB,0.006,0.107,37.426,2.233
255,uniform,indexscan,64,master,worker,12,32GB,0.709,12.025,4103.913,70.305
256,uniform,bitmapscan,0,master,worker,12,32GB,0.063,1.136,449.386,10.195
257,uniform,indexscan,1,prefetch-simple,io_uring,3,32GB,8.093,78.168,35074.374,672.514
